Couchbase Query,CPU consumption,RAM consumption,Total consumption,Time Taken,MongoDB Query,CPU consumption,RAM consumption,Total consumption,Time Taken,MySQL Query,CPU consumption,RAM consumption,Total consumption,Time Taken,PostgreSQL Query,CPU consumption,RAM consumption,Total consumption,Time Taken
select * from spam;,0.75,0.18,0.93,5.54,db.spam.find(),0.86,0.14,1.01,4.55,select * from spam;,0.56,0.09,0.65,3.99,select * from spam;,0.57,0.08,0.65,4.03
select * from spam;,0.29,0.15,0.44,4.67,db.spam.find(),0.59,0.14,0.73,4.8,select * from spam;,0.61,0.1,0.7,4.11,select * from spam;,0.29,0.08,0.38,4.07
select * from spam;,0.63,0.15,0.78,4.6,db.spam.find(),0.73,0.14,0.88,4.61,select * from spam;,0.49,0.1,0.58,4.12,select * from spam;,0.24,0.08,0.32,4.07
select * from spam;,0.9,0.17,1.07,4.99,db.spam.find(),0.37,0.15,0.52,4.8,select * from spam;,0.29,0.1,0.39,4.34,select * from spam;,0.3,0.08,0.38,4.23
select * from spam;,0.66,0.16,0.81,4.62,db.spam.find(),0.8,0.14,0.94,4.66,select * from spam;,0.71,0.1,0.81,4.32,select * from spam;,0.6,0.08,0.68,4.24
select * from spam;,0.33,0.14,0.47,4.22,db.spam.find(),0.56,0.15,0.71,4.82,select * from spam;,0.83,0.1,0.92,4.15,select * from spam;,0.92,0.09,1.01,4.35
select * from spam;,0.57,0.15,0.72,4.33,db.spam.find(),0.45,0.13,0.58,4.29,select * from spam;,0.9,0.1,1.0,4.44,select * from spam;,0.4,0.08,0.48,4.19
select * from spam;,0.82,0.14,0.96,4.14,db.spam.find(),0.53,0.13,0.66,4.19,select * from spam;,0.61,0.09,0.7,4.29,select * from spam;,0.35,0.08,0.43,4.0
select * from spam;,1.12,0.14,1.26,4.09,db.spam.find(),0.29,0.13,0.41,4.3,select * from spam;,0.29,0.09,0.39,4.01,select * from spam;,0.77,0.09,0.86,4.52
select * from spam;,0.48,0.13,0.61,4.05,db.spam.find(),0.46,0.13,0.6,4.31,select * from spam;,0.61,0.1,0.71,4.15,select * from spam;,1.04,0.08,1.12,4.27
"INSERT INTO spam (KEY, VALUE) VALUES (""1"",{""v1"":""ham"",""v2"":""Jungle""});",0.06,0.13,0.18,3.85,"db.spam.insertOne({ ""v1"": ""spam"",""v2"":""Hello google""})",0.57,0.14,0.7,4.35,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",1.07,0.1,1.16,4.16,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",0.75,0.08,0.83,4.22
"INSERT INTO spam (KEY, VALUE) VALUES (""1"",{""v1"":""ham"",""v2"":""Jungle""});",0.4,0.13,0.53,4.2,"db.spam.insertOne({ ""v1"": ""spam"",""v2"":""Hello google""})",0.29,0.13,0.41,4.13,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",0.68,0.1,0.78,4.16,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",0.82,0.08,0.9,4.37
"INSERT INTO spam (KEY, VALUE) VALUES (""1"",{""v1"":""ham"",""v2"":""Jungle""});",1.31,0.15,1.45,4.31,"db.spam.insertOne({ ""v1"": ""spam"",""v2"":""Hello google""})",0.33,0.13,0.46,4.24,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",0.86,0.1,0.95,4.14,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",0.36,0.08,0.43,4.14
"INSERT INTO spam (KEY, VALUE) VALUES (""1"",{""v1"":""ham"",""v2"":""Jungle""});",0.46,0.14,0.59,4.17,"db.spam.insertOne({ ""v1"": ""spam"",""v2"":""Hello google""})",0.49,0.13,0.62,4.27,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",0.78,0.09,0.88,4.37,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",0.41,0.08,0.49,4.38
"INSERT INTO spam (KEY, VALUE) VALUES (""1"",{""v1"":""ham"",""v2"":""Jungle""});",0.57,0.17,0.74,4.81,"db.spam.insertOne({ ""v1"": ""spam"",""v2"":""Hello google""})",0.38,0.13,0.51,4.23,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",0.41,0.09,0.5,4.2,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",0.62,0.08,0.7,4.32
"INSERT INTO spam (KEY, VALUE) VALUES (""1"",{""v1"":""ham"",""v2"":""Jungle""});",0.75,0.18,0.94,5.12,"db.spam.insertOne({ ""v1"": ""spam"",""v2"":""Hello google""})",0.24,0.12,0.36,4.23,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",0.9,0.1,1.0,4.33,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",0.34,0.08,0.42,4.08
"INSERT INTO spam (KEY, VALUE) VALUES (""1"",{""v1"":""ham"",""v2"":""Jungle""});",0.48,0.15,0.62,4.55,"db.spam.insertOne({ ""v1"": ""spam"",""v2"":""Hello google""})",0.35,0.12,0.47,4.16,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",1.15,0.14,1.29,5.74,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",0.51,0.08,0.59,4.2
"INSERT INTO spam (KEY, VALUE) VALUES (""1"",{""v1"":""ham"",""v2"":""Jungle""});",1.72,0.17,1.89,4.97,"db.spam.insertOne({ ""v1"": ""spam"",""v2"":""Hello google""})",1.11,0.14,1.25,4.42,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",0.51,0.1,0.61,4.48,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",0.97,0.08,1.05,4.15
"INSERT INTO spam (KEY, VALUE) VALUES (""1"",{""v1"":""ham"",""v2"":""Jungle""});",0.87,0.17,1.04,4.86,"db.spam.insertOne({ ""v1"": ""spam"",""v2"":""Hello google""})",1.99,0.15,2.14,4.6,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",0.62,0.1,0.72,4.36,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",0.51,0.08,0.59,4.15
"INSERT INTO spam (KEY, VALUE) VALUES (""1"",{""v1"":""ham"",""v2"":""Jungle""});",1.29,0.15,1.43,4.55,"db.spam.insertOne({ ""v1"": ""spam"",""v2"":""Hello google""})",0.6,0.13,0.73,4.29,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",0.26,0.1,0.36,4.56,"INSERT INTO spam (v1, v2) VALUES ('ham','Jungle');",0.46,0.08,0.54,4.14
UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,0.6,0.14,0.75,4.53,"db.spam.updateOne({""v2"" :""Hello google""}, {""$set"": {""v1"":""ham""} })",0.46,0.12,0.58,4.26,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,0.82,0.11,0.93,4.58,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,0.3,0.07,0.38,4.16
UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,0.11,0.14,0.25,4.48,"db.spam.updateOne({""v2"" :""Hello google""}, {""$set"": {""v1"":""ham""} })",0.17,0.12,0.3,4.12,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,0.61,0.1,0.71,4.39,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,0.38,0.08,0.46,4.16
UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,0.29,0.14,0.42,4.36,"db.spam.updateOne({""v2"" :""Hello google""}, {""$set"": {""v1"":""ham""} })",0.35,0.12,0.47,3.97,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,1.98,0.09,2.07,4.59,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,0.65,0.08,0.73,4.34
UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,1.03,0.14,1.18,4.41,"db.spam.updateOne({""v2"" :""Hello google""}, {""$set"": {""v1"":""ham""} })",0.32,0.12,0.44,4.01,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,0.65,0.09,0.74,4.36,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,0.38,0.08,0.46,4.14
UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,0.44,0.14,0.58,4.57,"db.spam.updateOne({""v2"" :""Hello google""}, {""$set"": {""v1"":""ham""} })",0.93,0.13,1.06,4.14,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,0.53,0.08,0.61,4.32,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,0.51,0.07,0.59,4.03
UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,0.62,0.13,0.75,4.16,"db.spam.updateOne({""v2"" :""Hello google""}, {""$set"": {""v1"":""ham""} })",0.46,0.12,0.58,4.21,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,0.41,0.08,0.49,4.34,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,0.3,0.07,0.38,4.02
UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,0.3,0.13,0.42,4.12,"db.spam.updateOne({""v2"" :""Hello google""}, {""$set"": {""v1"":""ham""} })",0.64,0.12,0.76,4.16,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,0.36,0.08,0.44,4.2,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,0.39,0.08,0.46,4.11
UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,0.36,0.13,0.48,4.06,"db.spam.updateOne({""v2"" :""Hello google""}, {""$set"": {""v1"":""ham""} })",0.5,0.14,0.64,4.44,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,0.33,0.08,0.42,4.27,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,1.25,0.08,1.33,4.4
UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,0.68,0.13,0.81,4.19,"db.spam.updateOne({""v2"" :""Hello google""}, {""$set"": {""v1"":""ham""} })",0.85,0.13,0.99,4.53,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,0.81,0.09,0.89,4.28,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,0.86,0.08,0.94,4.5
UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,0.28,0.14,0.41,4.28,"db.spam.updateOne({""v2"" :""Hello google""}, {""$set"": {""v1"":""ham""} })",0.47,0.13,0.6,4.28,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,1.1,0.09,1.19,4.49,UPDATE spam SET v1 = 'spam' WHERE v2 = 'Lol your always so convincing.';,0.37,0.08,0.45,4.55
DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,0.28,0.14,0.42,4.5,"db.spam.deleteOne({""v2"":""Anything""})",0.4,0.13,0.53,4.23,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,1.1,0.09,1.19,4.31,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,0.4,0.08,0.48,4.74
DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,0.98,0.15,1.13,4.52,"db.spam.deleteOne({""v2"":""Anything""})",0.48,0.13,0.61,4.36,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,0.18,0.08,0.26,4.29,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,0.33,0.08,0.41,4.58
DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,0.9,0.14,1.04,4.32,"db.spam.deleteOne({""v2"":""Anything""})",0.4,0.12,0.52,4.02,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,0.29,0.08,0.37,4.24,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,0.22,0.08,0.3,4.56
DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,0.71,0.14,0.85,4.43,"db.spam.deleteOne({""v2"":""Anything""})",0.36,0.13,0.49,4.24,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,0.53,0.08,0.61,4.15,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,0.56,0.08,0.63,4.51
DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,0.42,0.14,0.55,4.41,"db.spam.deleteOne({""v2"":""Anything""})",0.78,0.13,0.91,4.43,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,0.45,0.08,0.53,4.0,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,1.36,0.08,1.45,4.66
DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,0.23,0.13,0.35,4.32,"db.spam.deleteOne({""v2"":""Anything""})",1.58,0.1,1.68,4.51,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,0.36,0.08,0.45,4.38,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,0.42,0.08,0.5,4.49
DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,0.83,0.18,1.01,5.64,"db.spam.deleteOne({""v2"":""Anything""})",0.5,0.1,0.59,4.5,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,1.03,0.11,1.14,5.17,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,0.33,0.08,0.4,4.2
DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,0.95,0.17,1.12,5.6,"db.spam.deleteOne({""v2"":""Anything""})",0.29,0.09,0.38,4.14,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,0.54,0.09,0.63,4.51,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,0.24,0.07,0.31,4.11
DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,0.94,0.16,1.1,4.81,"db.spam.deleteOne({""v2"":""Anything""})",0.42,0.09,0.51,4.06,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,0.23,0.08,0.31,4.33,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,0.25,0.08,0.32,4.27
DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,0.94,0.15,1.09,4.68,"db.spam.deleteOne({""v2"":""Anything""})",0.41,0.09,0.5,3.99,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,0.52,0.08,0.6,4.09,DELETE FROM spam WHERE v2 = 'Lol your always so convincing.';,0.79,0.08,0.87,4.33
